prototype,horizon,period,event_count,mean_fwd_ret,plus_1atr_first_rate,minus_1atr_first_rate
P4_BREAKOUT_TOP20,1,2025-02,5,0.011591701639775654,1.0,0.0
P4_BREAKOUT_TOP20,1,2025-03,3,0.03705125111935348,1.0,0.0
P4_BREAKOUT_TOP20,1,2025-04,8,0.006130335455418856,1.0,0.0
P4_BREAKOUT_TOP20,1,2025-05,12,0.01442867403223519,1.0,0.0
P4_BREAKOUT_TOP20,1,2025-06,11,0.015090448664193745,1.0,0.0
P4_BREAKOUT_TOP20,1,2025-07,13,0.013083341126828562,0.9230769230769231,0.0
P4_BREAKOUT_TOP20,1,2025-08,12,0.015899385234748525,1.0,0.0
P4_BREAKOUT_TOP20,1,2025-09,8,0.0057254709855462105,0.75,0.125
P4_BREAKOUT_TOP20,1,2025-10,7,0.011251451906684862,1.0,0.0
P4_BREAKOUT_TOP20,1,2025-11,6,0.013955333775426867,1.0,0.0
P4_BREAKOUT_TOP20,1,2025-12,10,0.00964515796202876,1.0,0.0
P4_BREAKOUT_TOP20,1,2026-01,6,0.01123601785202355,1.0,0.0
P4_BREAKOUT_TOP20,1,2026-02,2,0.010962971557364476,1.0,0.0
P4_BREAKOUT_TOP20,1,2026-03,7,0.012169097079094986,0.8571428571428571,0.0
