period,symbol,sizing_mode,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
2023Q2,BNBUSDT,fixed_risk_0_5pct,16,0.006524330072630671,1.3903595094636443,-0.010727170472142444,0.5625,valid
2023Q2,BTCUSDT,fixed_1x,19,-0.00033284360713852526,0.9894892996961084,-0.014128052602377372,0.3684210526315789,valid
2023Q2,BTCUSDT,fixed_risk_0_5pct,19,-0.008625907663843429,0.7341099506105168,-0.014814991834908864,0.3684210526315789,valid
2023Q2,ETHUSDT,fixed_1x,25,-0.010876989502213713,0.7121119463769722,-0.022240523667265588,0.32,valid
2023Q2,ETHUSDT,fixed_risk_0_5pct,25,-0.017877148216971363,0.5691713751480317,-0.0261021036125767,0.32,valid
2023Q2,SOLUSDT,fixed_1x,21,-0.03460723665046848,0.6650245767384642,-0.04642235970231412,0.3333333333333333,valid
2023Q2,SOLUSDT,fixed_risk_0_5pct,21,-0.02976273728789431,0.5353392643923823,-0.04148049126987141,0.3333333333333333,valid
2023Q3,BNBUSDT,fixed_1x,23,-0.018436905549044584,0.3119807831996189,-0.021173879961306374,0.43478260869565216,valid
2023Q3,BNBUSDT,fixed_risk_0_5pct,23,-0.023726857942487647,0.3121717423200974,-0.027242964913693157,0.43478260869565216,valid
2023Q3,BTCUSDT,fixed_1x,16,-0.009727235934531203,0.5788807960103437,-0.011618419766733834,0.375,valid
2023Q3,BTCUSDT,fixed_risk_0_5pct,16,-0.008920160593420663,0.6110665172157259,-0.010907614016246847,0.375,valid
2023Q3,ETHUSDT,fixed_1x,13,-0.00431656033808576,0.5985065969851918,-0.007168689515087867,0.5384615384615384,valid
2023Q3,ETHUSDT,fixed_risk_0_5pct,13,-0.004993700233082364,0.6033796833979898,-0.008464876888468975,0.5384615384615384,valid
2023Q3,SOLUSDT,fixed_1x,20,-0.062213199618165876,0.2720417956436125,-0.06945718800593326,0.2,valid
2023Q3,SOLUSDT,fixed_risk_0_5pct,20,-0.04186550584544152,0.3249863500080074,-0.047025131837418854,0.2,valid
2023Q4,BNBUSDT,fixed_1x,33,-0.018895478324822395,0.5996556720895043,-0.023929643667440104,0.3939393939393939,valid
2023Q4,BNBUSDT,fixed_risk_0_5pct,33,-0.024429052439087832,0.5741100092061536,-0.030905872898303044,0.3939393939393939,valid
2023Q4,BTCUSDT,fixed_1x,13,-0.006283657235613424,0.6222179332880496,-0.00860902828481791,0.38461538461538464,valid
2023Q4,BTCUSDT,fixed_risk_0_5pct,13,-0.006880556247054592,0.604433042215593,-0.008974143034030102,0.38461538461538464,valid
2023Q4,ETHUSDT,fixed_1x,24,0.007283286567019192,1.25307715726654,-0.012771171168033502,0.5,valid
2023Q4,ETHUSDT,fixed_risk_0_5pct,24,0.0004719311845499168,1.014685044994893,-0.014914306492267548,0.5,valid
2023Q4,SOLUSDT,fixed_1x,25,-0.015350893260910018,0.8867764423777391,-0.038351020301364946,0.44,valid
2023Q4,SOLUSDT,fixed_risk_0_5pct,25,0.011976938907029886,1.2279253926562017,-0.014523032371274391,0.44,valid
2024Q1,BNBUSDT,fixed_1x,27,-0.03547965748970679,0.48972827800051644,-0.0417401398061783,0.3333333333333333,valid
2024Q1,BNBUSDT,fixed_risk_0_5pct,27,-0.02171297015139839,0.5860925213863343,-0.02654716855647732,0.3333333333333333,valid
2024Q1,BTCUSDT,fixed_1x,19,-0.034540276423308404,0.23719402091130978,-0.03116889293060343,0.21052631578947367,valid
2024Q1,BTCUSDT,fixed_risk_0_5pct,19,-0.034861088543257174,0.19985209756072977,-0.03132499369215991,0.21052631578947367,valid
2024Q1,ETHUSDT,fixed_1x,25,-0.0312723259989176,0.5605622955269389,-0.060671226244543575,0.24,valid
2024Q1,ETHUSDT,fixed_risk_0_5pct,25,-0.03357711808330606,0.3826798228602536,-0.0449150379326817,0.24,valid
2024Q1,SOLUSDT,fixed_1x,33,0.06521572867931529,1.5257018688167103,-0.0269974846717419,0.5151515151515151,valid
2024Q1,SOLUSDT,fixed_risk_0_5pct,33,0.024503517483527693,1.3857707308141085,-0.015508991525108762,0.5151515151515151,valid
2024Q2,BNBUSDT,fixed_1x,26,-0.027613798939026983,0.3281638462001274,-0.028938179622540416,0.2692307692307692,valid
2024Q2,BNBUSDT,fixed_risk_0_5pct,26,-0.03042140674513283,0.35642652017060156,-0.03228317409522852,0.2692307692307692,valid
2024Q2,BTCUSDT,fixed_1x,35,-0.04641443016236536,0.35203268906348817,-0.05265619039442937,0.2571428571428571,valid
2024Q2,BTCUSDT,fixed_risk_0_5pct,35,-0.046383839571805266,0.36155156667864585,-0.05265494318909325,0.2571428571428571,valid
2024Q2,ETHUSDT,fixed_1x,29,-0.051623828670050005,0.1289949320191814,-0.05358213255491684,0.13793103448275862,valid
2024Q2,ETHUSDT,fixed_risk_0_5pct,29,-0.05664528543857333,0.12812442436829063,-0.05845011828632629,0.13793103448275862,valid
