symbol,prototype,gate,leverage_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,liquidation_count,liquidation_rate,min_equity,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration,coverage_status
BTCUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_4x_10x_v1,0,0.0,,0.0,,,,,,0,,1000.0,1000.0,,,,0 days 00:00:00,gate_unavailable
BTCUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_5x_12x_v1,0,0.0,,0.0,,,,,,0,,1000.0,1000.0,,,,0 days 00:00:00,gate_unavailable
BTCUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x,0,0.0,,0.0,,,,,,0,,1000.0,1000.0,,,,0 days 00:00:00,gate_unavailable
BTCUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_20x,0,0.0,,0.0,,,,,,0,,1000.0,1000.0,,,,0 days 00:00:00,gate_unavailable
BTCUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_3x_8x_v1,0,0.0,,0.0,,,,,,0,,1000.0,1000.0,,,,0 days 00:00:00,gate_unavailable
BTCUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_4x_10x_v1,0,0.0,,0.0,,,,,,0,,1000.0,1000.0,,,,0 days 00:00:00,gate_unavailable
BTCUSDT,P4_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,0,0.0,,0.0,,,,,,0,,1000.0,1000.0,,,,0 days 00:00:00,gate_unavailable
BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_10x,185,247510.84286506684,,-0.5119114415490307,2.1387565343556907,0.5567567567567567,4513230.057002069,-2650632.3537334925,1.7026993768656955,0,0.0,1000.0,247511842.86506683,0.16045340183854634,0.44016167233397363,0.6472118831991387,130 days 18:07:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,185,326886018.41018254,,-0.7657762946942371,1.7555819162569137,0.5567567567567567,7373924116.853261,-5275953239.337847,1.3976477391559896,0,0.0,965.4306862058879,326886019410.18256,0.2381293349280772,0.6821369363251908,1.0105017875382594,130 days 18:07:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,185,418.5814865944628,,-0.16835976426890076,2.871197700233877,0.5567567567567567,6235.714368231686,-2728.013333334158,2.2858078778560964,0,0.0,1000.0,419581.48659446277,0.11619820935483492,0.29539533053422107,0.43711967532214263,96 days 06:22:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,185,755.183475702842,,-0.19274571895162673,2.6676531076534085,0.5567567567567567,11728.40330039744,-5522.464198025538,2.1237626682289275,0,0.0,1000.0,756183.475702842,0.11461067145236759,0.3241602313432352,0.48770064688911713,96 days 06:22:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1,185,1036.1369781427713,,-0.20619555495884956,2.5870518598649066,0.5567567567567567,16398.11639936521,-7961.817207217632,2.059594684552644,0,0.0,1000.0,1037136.9781427714,0.1237123094518205,0.3611397164997719,0.5570738028312409,101 days 21:07:00,usable
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,190,651595.9603375166,,-0.5779719932937815,2.0253087252349196,0.5473684210526316,12376037.721421162,-7389673.984770744,1.6747745227904143,0,0.0,1000.0,651596960.3375167,0.1784133381771924,0.4761601416331057,0.7286976806476948,96 days 06:22:00,usable
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,190,1013407699.4763727,,-0.8482942559119853,1.6453040683654039,0.5473684210526316,24844635453.509163,-18260864973.123028,1.3605399026867762,0,0.0,1000.0,1013407700476.3727,0.334051248867729,0.9563519764678218,1.3788010733282354,101 days 21:07:00,usable
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,190,498.06284896927025,,-0.17737487029288412,2.5883242329489353,0.5473684210526316,7804.234771320496,-3646.250781954202,2.1403450387846963,0,0.0,1000.0,499062.84896927024,0.14329489024749584,0.3765298132430184,0.5709091806836956,96 days 06:22:00,usable
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1,190,321.7385975214319,,-0.2105950913814122,1.9880439558423377,0.5473684210526316,6224.716000171508,-3786.417052283778,1.6439594250234717,0,0.0,1000.0,322738.5975214319,0.17981301732286578,0.4569289778636818,0.6059210499592158,104 days 23:07:00,usable
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_5x_12x_v1,190,406.17958973190326,,-0.22627919079494274,1.9505236246777902,0.5473684210526316,8014.437688960976,-4968.859650233002,1.612932997329711,0,0.0,1000.0,407179.5897319033,0.20512946021425676,0.5232698633886173,0.683492319742803,104 days 23:07:00,usable
