data_layer,symbol,prototype,gate,leverage_mode,h3_trade_count,h4_trade_count,h3_profit_factor,h4_profit_factor,h3_max_drawdown,h4_max_drawdown,h3_liquidation_count,h4_liquidation_count,h3_stress_liquidation_cases,h4_stress_liquidation_cases,risk_retention_status
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,,161,,2.899136146418485,,-0.24610127674161397,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1,,161,,2.890245621770713,,-0.21805010739505426,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,,219,,1.289862216393505,,-0.8686882163487352,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,,219,,1.025556337575512,,-0.9990903744073766,,3,,9,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,,219,,2.1505417516802647,,-0.29554530162187764,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1,,219,,2.0806931854967097,,-0.2928421707245089,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_5x_12x_v1,,219,,2.272174279556304,,-0.31107142490673845,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x,,119,,1.21975943750704,,-0.726541141241676,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,,119,,1.0085637074973397,,-0.9871936967648961,,1,,3,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,,119,,1.8976226254066297,,-0.23561607487959302,,0,,0,insufficient_h4_sample
