symbol,prototype,leverage_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,liquidation_count,liquidation_rate,min_equity,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_4x_10x_v1,214,3.040580108672766,,-0.6361187994060205,1.739306087234531,0.5327102803738317,62.74849784111776,-41.12748645214658,1.525707094065378,0,0.0,378.6679678066055,4040.580108672766,0.23969973968358693,0.5809233484214463,0.7791739406132085,618 days 18:15:00
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1,214,0.20236149321359065,,-0.7633425592872244,1.1467751316911603,0.5327102803738317,13.869116998811455,-13.787178446509149,1.0059430979747022,0,0.0,248.67852918630558,1202.3614932135906,1.0169391033815556,1.6966917782284225,2.172355752353311,878 days 19:15:00
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,228,12.708933654943285,,-0.18429128431387742,2.4853386886721753,0.5263157894736842,177.2098890379162,-79.22456508895057,2.2368048198049575,0,0.0,865.9597272559408,13708.933654943285,0.2019380498694408,0.3406400040074177,0.4621908820698839,81 days 21:50:00
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x,228,41.479369967769124,,-0.2665594449056763,2.4441969558559453,0.5263157894736842,585.0064828701281,-265.9389627467243,2.199777260270351,0,0.0,799.344888613456,42479.369967769126,0.2634809262220764,0.4242958986109116,0.5471884938170316,81 days 21:50:00
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_5x,228,298.34029598265494,,-0.4130017160132764,2.289995391695708,0.5263157894736842,4413.438911975137,-2141.410865318161,2.0609958525261374,0,0.0,667.1930401029708,299340.29598265496,0.3695860309545148,0.5523432872840153,0.6905082522489604,81 days 21:50:00
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,228,2784.559912769061,,-0.5920933202026797,2.0599210899651004,0.5263157894736842,45097.489999414625,-24325.36006630271,1.8539289809685904,0,0.0,471.28992929504614,2785559.912769061,0.4908865325025447,0.6950508454029628,0.8629365462245023,92 days 17:45:00
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,228,7863.9613249186605,,-0.6886516357573388,1.9358760785009554,0.5263157894736842,135556.18242705168,-77803.52376229207,1.74228847065086,0,0.0,342.97843867748395,7864961.32491866,0.5557760655480796,0.7787888814584669,0.9528424601951686,92 days 17:45:00
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1,228,7.7588777169390415,,-0.5156644649720755,2.0202224759575405,0.5263157894736842,128.03301503147438,-70.41744524849894,1.8182002283617866,0,0.0,499.09671971726146,8758.877716939041,0.19717059282386087,0.43720566427869356,0.583640362470865,492 days 22:45:00
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_4x_10x_v1,228,3.5092347848589256,,-0.6411345635650644,1.7330245582699735,0.5263157894736842,69.13808905721898,-44.32718427784585,1.5597221024429764,0,0.0,373.4483818043551,4509.234784858925,0.22549899090890407,0.575985632498571,0.7612279470669417,618 days 18:15:00
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1,228,0.2357720058281727,,-0.7666046621580531,1.1365653025220428,0.5263157894736842,16.351779220974585,-15.985569450822016,1.0229087722698385,0,0.0,245.25072678326745,1235.7720058281727,0.8970855846519015,1.652671699436355,2.1572263599997363,832 days 06:45:00
