symbol,year,volatility_regime,trend_strength_bucket,event_count,mean_fwd_ret_16,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
ETHUSDT,2023,high_vol,1.0_1.5,18,0.005647300551270964,0.002565526669847218,0.3888888888888889,0.5,-0.009095138995901494,0.010930875242571525,0.2987684948134905,0.001015648648736193
ETHUSDT,2023,high_vol,1.5_2.5,15,0.0048195923816955295,0.0026144759404704843,0.5333333333333333,0.4666666666666667,-0.0058370849245945895,0.012041763393669773,0.36059796184218557,-0.00035099951708394045
ETHUSDT,2023,low_vol,1.0_1.5,5,-0.00018985980984316254,0.0014481671995922873,0.4,0.6,-0.005309136174072071,0.004698942329460376,0.4307417840692236,-0.004314172447149434
ETHUSDT,2023,low_vol,1.5_2.5,6,0.0006206189376172048,0.0005999942437744377,0.3333333333333333,0.6666666666666666,-0.004941273419684773,0.004218747791884063,0.7327337407080582,-0.0017530709641296882
ETHUSDT,2023,mid_vol,0.5_1.0,13,-0.0014271345084588655,-0.0011037035385403904,0.5384615384615384,0.46153846153846156,-0.012913354520061251,0.005904363238097185,0.4780529753878774,-0.005382863601688936
ETHUSDT,2023,mid_vol,0_0.5,2,0.006667327048179683,0.006667327048179683,1.0,0.0,-0.001031621149657047,0.012482795495309396,0.6831120449844666,
ETHUSDT,2023,mid_vol,1.0_1.5,6,0.0014152067403104078,0.0027594255356202524,0.6666666666666666,0.3333333333333333,-0.005649108375298473,0.003467539221682562,0.3683069218619056,-0.0010208892004054022
ETHUSDT,2023,mid_vol,1.5_2.5,10,0.006065734215317364,0.00538637382400553,0.7,0.3,-0.00617336966711538,0.01404973956383555,0.28981859431081664,0.0020327740525466487
ETHUSDT,2024,high_vol,0.5_1.0,31,0.002590724814844698,0.0023190132692807452,0.5806451612903226,0.41935483870967744,-0.009707037724531496,0.010469986164899617,0.32074354450615283,-0.0004067245946276221
ETHUSDT,2024,high_vol,0_0.5,28,-0.009516565473239766,-0.0031345953414203542,0.39285714285714285,0.5714285714285714,-0.020143357571517834,0.009277274839873173,0.2199028787411661,-0.013415403797153615
ETHUSDT,2024,high_vol,1.0_1.5,24,0.00038662572496806863,0.0013938896913905374,0.5,0.4583333333333333,-0.017296839119535598,0.008608744777963676,0.20294024282888792,-0.0019696467660878327
ETHUSDT,2024,high_vol,1.5_2.5,33,-0.003181556827361606,-0.002732600153891651,0.48484848484848486,0.5151515151515151,-0.016550899189304923,0.007381799951615825,0.1924790776088919,-0.00501548457697667
