symbol,month,p4_trade_count,p4_proxy_return,p4_negative_month,p4_weak_month,proxy_method
BNBUSDT,2020-04,17,0.11442061423953054,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2020-05,16,-0.056484530571330294,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2020-06,7,-0.07063897596390223,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2020-07,16,0.0344131278939559,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2020-08,18,-0.08967649063345084,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2020-09,14,0.14381667305079593,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2020-10,18,-0.07289316694300896,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2020-11,14,-0.04757723206030384,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2020-12,18,0.041535782790142584,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2021-01,22,-0.11212477071472082,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2021-02,11,2.0754280379602137,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2021-03,16,0.15641107436068935,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2021-04,16,0.3913443570188564,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2021-05,11,-0.019199223707484947,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2021-06,12,-0.06823296861125705,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2021-07,18,-0.12174299847794878,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2021-08,20,0.0700913283046326,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2021-09,10,-0.06213031316463602,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2021-10,17,0.08529984959423953,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2021-11,19,0.0721476892370162,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2021-12,11,-0.01253250972947495,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2022-01,9,0.006875480572184123,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2022-02,11,0.02878774726042843,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2022-03,17,0.006955409462628626,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2022-04,13,-0.0923543408834705,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2022-05,10,0.02635394662851287,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2022-06,10,-0.07515876667208621,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2022-07,19,-0.007671384680942417,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2022-08,11,-0.03170276538008787,True,True,realistic_p4_trade_return_1x_exit_month
